oracle,watermarker,mutator,compare_against_original,mean_mutation_time_in_s,mean_oracle_time_in_s,attack_success_@_0.0,mean_steps_to_success_@_0.0,mean_time_to_success_@_0.0,mean_change_in_watermark_score_@_0.0,mean_original_perplexity_@_0.0,mean_attacked_perplexity_@_0.0,mean_original_grammar_errors_@_0.0,mean_attacked_grammar_errors_@_0.0,mean_original_quality_@_0.0,mean_attacked_quality_@_0.0,support_@_0.0,attack_success_@_0.25,mean_steps_to_success_@_0.25,mean_time_to_success_@_0.25,mean_change_in_watermark_score_@_0.25,mean_original_perplexity_@_0.25,mean_attacked_perplexity_@_0.25,mean_original_grammar_errors_@_0.25,mean_attacked_grammar_errors_@_0.25,mean_original_quality_@_0.25,mean_attacked_quality_@_0.25,support_@_0.25,attack_success_@_0.5,mean_steps_to_success_@_0.5,mean_time_to_success_@_0.5,mean_change_in_watermark_score_@_0.5,mean_original_perplexity_@_0.5,mean_attacked_perplexity_@_0.5,mean_original_grammar_errors_@_0.5,mean_attacked_grammar_errors_@_0.5,mean_original_quality_@_0.5,mean_attacked_quality_@_0.5,support_@_0.5,attack_success_@_1.0,mean_steps_to_success_@_1.0,mean_time_to_success_@_1.0,mean_change_in_watermark_score_@_1.0,mean_original_perplexity_@_1.0,mean_attacked_perplexity_@_1.0,mean_original_grammar_errors_@_1.0,mean_attacked_grammar_errors_@_1.0,mean_original_quality_@_1.0,mean_attacked_quality_@_1.0,support_@_1.0,attack_success_@_2.0,mean_steps_to_success_@_2.0,mean_time_to_success_@_2.0,mean_change_in_watermark_score_@_2.0,mean_original_perplexity_@_2.0,mean_attacked_perplexity_@_2.0,mean_original_grammar_errors_@_2.0,mean_attacked_grammar_errors_@_2.0,mean_original_quality_@_2.0,mean_attacked_quality_@_2.0,support_@_2.0,attack_success_@_3.0,mean_steps_to_success_@_3.0,mean_time_to_success_@_3.0,mean_change_in_watermark_score_@_3.0,mean_original_perplexity_@_3.0,mean_attacked_perplexity_@_3.0,mean_original_grammar_errors_@_3.0,mean_attacked_grammar_errors_@_3.0,mean_original_quality_@_3.0,mean_attacked_quality_@_3.0,support_@_3.0,max_steps,support,attack_success_@_50.0,mean_steps_to_success_@_50.0,mean_time_to_success_@_50.0,mean_change_in_watermark_score_@_50.0,mean_original_perplexity_@_50.0,mean_attacked_perplexity_@_50.0,mean_original_grammar_errors_@_50.0,mean_attacked_grammar_errors_@_50.0,mean_original_quality_@_50.0,mean_attacked_quality_@_50.0,support_@_50.0,attack_success_@_60.0,mean_steps_to_success_@_60.0,mean_time_to_success_@_60.0,mean_change_in_watermark_score_@_60.0,mean_original_perplexity_@_60.0,mean_attacked_perplexity_@_60.0,mean_original_grammar_errors_@_60.0,mean_attacked_grammar_errors_@_60.0,mean_original_quality_@_60.0,mean_attacked_quality_@_60.0,support_@_60.0,attack_success_@_70.0,mean_steps_to_success_@_70.0,mean_time_to_success_@_70.0,mean_change_in_watermark_score_@_70.0,mean_original_perplexity_@_70.0,mean_attacked_perplexity_@_70.0,mean_original_grammar_errors_@_70.0,mean_attacked_grammar_errors_@_70.0,mean_original_quality_@_70.0,mean_attacked_quality_@_70.0,support_@_70.0,attack_success_@_80.0,mean_steps_to_success_@_80.0,mean_time_to_success_@_80.0,mean_change_in_watermark_score_@_80.0,mean_original_perplexity_@_80.0,mean_attacked_perplexity_@_80.0,mean_original_grammar_errors_@_80.0,mean_attacked_grammar_errors_@_80.0,mean_original_quality_@_80.0,mean_attacked_quality_@_80.0,support_@_80.0,attack_success_@_90.0,mean_steps_to_success_@_90.0,mean_time_to_success_@_90.0,mean_change_in_watermark_score_@_90.0,mean_original_perplexity_@_90.0,mean_attacked_perplexity_@_90.0,mean_original_grammar_errors_@_90.0,mean_attacked_grammar_errors_@_90.0,mean_original_quality_@_90.0,mean_attacked_quality_@_90.0,support_@_90.0
DiffOracle,SemStampWatermarker,WordMutator,True,0.03356731442943446,1.3503461829274994,0.5254237288135594,110.11290322580645,143.61313979471885,-0.04668540036139049,28.552337092737996,37.36543764606599,4.903225806451613,5.032258064516129,0.9042476530997984,0.26593288298576107,62.0,0.6186440677966102,99.04109589041096,128.22797401637249,-0.05176714929079869,26.54023380802102,34.08163222221479,4.657534246575342,4.808219178082192,0.968303523651541,0.4166282758320848,73.0,0.6779661016949152,96.825,117.93056809306145,-0.05399931519847181,25.82362505197525,32.81041878461838,4.925,5.0375,0.9820805549621582,0.4717550277709961,80.0,0.7711864406779662,86.76923076923077,104.14941780907768,-0.058656432374510216,26.85395238687704,33.82005966102684,4.8791208791208796,4.967032967032967,1.004500755896935,0.5637750311212225,91.0,0.9067796610169492,52.6822429906542,57.02205730375842,-0.08279151876310514,26.713349636470046,30.758014759170674,5.775700934579439,5.757009345794392,0.9849815725166107,0.6743201139931366,107.0,0.9491525423728814,29.9375,32.15869216833796,-0.10373442392061517,26.465732072080886,28.948853126594,5.616071428571429,5.633928571428571,0.9874416760035923,0.7711349214826312,112.0,200,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,AdaptiveWatermarker,WordMutator,True,0.05091057399685459,1.420713451136364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,25,0.0,,,-0.20715619896499213,,,,,,,0.0,0.0,,,-0.20715619896499213,,,,,,,0.0,0.24,146.16666666666666,1022.8804736932119,-0.24331112110868422,50.226523081461586,74.38903490702312,2.5,3.3333333333333335,0.028645833333333332,-0.7830810546875,6.0,0.4,81.6,587.2502080917359,-0.36760522036103543,45.249989128112794,57.34786148071289,4.0,3.8,0.1052978515625,-0.4222412109375,10.0,0.44,24.636363636363637,197.59667264331472,-0.5289564007206967,46.746319337324664,52.78766597401012,3.6363636363636362,3.5454545454545454,0.23288796164772727,0.008234197443181818,11.0
DiffOracle,SemStampWatermarker,DocumentMutator,False,190.7155332565308,2.1990549564361572,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,UMDWatermarker,DocumentMutator,False,12.260735689990854,3.1331294382256942,0.3333333333333333,54.07692307692308,675.1195155473856,-0.026748740950537274,24.941862473121056,23.17380927159236,12.0,7.769230769230769,0.9579279972956731,0.2871516301081731,13.0,0.4358974358974359,72.11764705882354,942.3857227633981,-0.02795269595936681,32.03897523880005,25.98069338237538,26.41176470588235,23.176470588235293,0.9351268095128676,0.09199389289407169,17.0,0.46153846153846156,59.44444444444444,823.1786431603962,-0.03026055934911504,31.586916314231026,26.166916754510666,25.055555555555557,22.666666666666668,0.9487677680121528,0.1550869411892361,18.0,0.5128205128205128,48.8,603.805374622345,-0.03139732918223969,31.114420819282532,27.40588034391403,22.65,20.7,1.0330413818359374,0.2220062255859375,20.0,0.6410256410256411,47.44,499.1057225418091,-0.03573005555956621,29.7319252204895,25.92078451156616,19.52,17.44,1.15487060546875,0.3720556640625,25.0,0.717948717948718,26.892857142857142,398.53479853698184,-0.04075715932121811,32.97006492955344,28.70049156461443,20.857142857142858,14.892857142857142,1.1621507917131697,0.49208286830357145,28.0,200,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,SemStampWatermarker,SentenceMutator,True,0.8376326676462965,1.4172120550312313,0.3391304347826087,28.743589743589745,62.2716458821908,-0.08329933580222074,27.911381721496582,30.011365523705116,4.923076923076923,5.128205128205129,1.146066127679287,0.38599297939202726,39.0,0.43478260869565216,22.3,47.646902894973756,-0.09505713369058136,28.82996114730835,30.94088342666626,4.26,4.42,1.1744540405273438,0.445765380859375,50.0,0.4956521739130435,19.63157894736842,42.479008293988414,-0.11284422198647136,27.39486591439498,29.87343590719658,5.368421052631579,5.421052631578948,1.1131325437311541,0.43302489163582786,57.0,0.6260869565217392,19.791666666666668,37.136253237724304,-0.13779394016918856,26.064706133471596,28.236621167924667,5.097222222222222,5.069444444444445,1.08878845638699,0.4821130434672038,72.0,0.8173913043478261,11.23404255319149,21.553604744850322,-0.24818293770818356,26.83875746929899,29.018868522441135,5.98936170212766,5.851063829787234,0.9482724615868102,0.4501855728474069,94.0,0.9304347826086956,7.018691588785047,11.426498250426533,-0.36909268764126607,26.28253496918723,28.267800077099665,5.962616822429907,5.981308411214953,0.9871220098477658,0.5278722460024825,107.0,200,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,UMDWatermarker,SpanMutator,False,0.6563500626844813,2.098766383186944,0.07407407407407407,56.6,131.27113285064698,-0.08590679848043971,23.098274135589598,27.153778266906738,1.7,1.8,1.4951202392578125,0.001129150390625,10.0,0.1037037037037037,51.0,110.81348276138306,-0.08828636616048266,23.154176780155726,29.09622355869838,1.5714285714285714,1.6428571428571428,1.2163870675223214,-0.19149562290736608,14.0,0.1037037037037037,45.142857142857146,98.57031806877681,-0.08891534412380252,23.154176780155726,28.967794554574148,1.5714285714285714,1.5714285714285714,1.2163870675223214,-0.13252912248883927,14.0,0.15555555555555556,47.714285714285715,107.41758027530852,-0.09293808696761954,21.317713147117978,26.9844483875093,2.238095238095238,2.3333333333333335,1.2609340122767858,0.013558523995535714,21.0,0.1925925925925926,33.42307692307692,82.30060948775365,-0.1031204376564498,20.787322227771465,25.4604393518888,2.5,2.269230769230769,1.35968017578125,0.34462180504432094,26.0,0.2518518518518518,23.205882352941178,63.21350250524633,-0.10642166396271212,20.4612476124483,23.752100664026596,2.323529411764706,2.235294117647059,1.3982831169577206,0.708378511316636,34.0,200,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,UMDWatermarker,SentenceMutator,False,0.9241334258145849,2.5201939944650085,0.2727272727272727,31.53846153846154,96.76158938652429,-0.05092030548920576,22.584107264494286,24.460793495178223,6.205128205128205,2.5384615384615383,1.3521845890925481,0.1328297150440705,39.0,0.3356643356643357,26.020833333333332,78.46434157093366,-0.05381952685787874,23.31998140613238,25.400347113609314,10.020833333333334,8.166666666666666,1.3701190948486328,0.25490716596444446,48.0,0.3916083916083916,23.410714285714285,66.33082512021065,-0.056080652417755956,23.60563611132758,25.60624882153102,9.107142857142858,7.482142857142857,1.4132537841796875,0.34933158329554964,56.0,0.5314685314685315,27.473684210526315,80.45569177677757,-0.07040623404742828,23.48701782603013,25.447073058078164,7.802631578947368,6.5131578947368425,1.430829499897204,0.40899096037212174,76.0,0.6993006993006993,20.38,61.327480118274686,-0.10113324374210902,23.808621459007263,25.87569061279297,8.65,7.26,1.457459716796875,0.5610690307617188,100.0,0.7762237762237763,15.873873873873874,54.607578404314886,-0.11105823271069686,23.218419337057853,25.624052039137833,9.64864864864865,7.585585585585585,1.4468884167370495,0.6394667754302154,111.0,200,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,SemStampWatermarker,SpanMutator,True,0.5396896973790131,1.2929050933530124,0.1875,32.285714285714285,62.67263270559765,-0.17736831005301837,20.33159151531401,24.885811896551225,3.761904761904762,3.4285714285714284,0.9109816778273809,0.21777234758649552,21.0,0.22321428571428573,28.56,55.51490523338318,-0.1890903128158651,19.902226219177248,23.301188659667968,4.04,3.6,0.89326171875,0.2884027099609375,25.0,0.24107142857142858,26.925925925925927,52.14578362747475,-0.18922144227208237,23.407900245101363,26.16742738087972,4.407407407407407,3.925925925925926,0.9667787905092593,0.35624034316451464,27.0,0.36607142857142855,18.926829268292682,36.979674984769126,-0.20885315949355884,24.414422826069156,26.967389734779918,4.634146341463414,4.365853658536586,0.893580180842702,0.39532203209109423,41.0,0.48214285714285715,10.12962962962963,19.828910249250907,-0.2509996798928673,28.807039614076967,31.260726151642977,6.018518518518518,5.796296296296297,0.9453375074598525,0.5030890570746528,54.0,0.6696428571428571,6.413333333333333,12.9918142191569,-0.29644114211683587,28.64839561462402,30.15397928873698,5.906666666666666,5.8,1.0270956420898438,0.7504828898111979,75.0,162,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,SemStampWatermarker,WordMutator,False,0.03242268412936464,1.3923335906749619,0.7310924369747899,96.17241379310344,110.46076191430804,-0.044206150867480136,28.015333460665296,38.72359214431938,5.7701149425287355,5.586206896551724,0.952886734885731,0.18127396462977619,87.0,0.8151260504201681,86.6082474226804,100.27770170968833,-0.05007808520173026,26.985510314862754,36.46108654848079,5.65979381443299,5.505154639175258,0.9646942295978979,0.2815349519867258,97.0,0.8571428571428571,81.23529411764706,97.49958320926217,-0.054007560074855625,26.441435299667656,35.39321115905163,5.46078431372549,5.323529411764706,0.9977706460391774,0.3432314910140692,102.0,0.8991596638655462,59.41121495327103,72.76398027277439,-0.0677890510881175,26.99366532976382,34.27983433732363,5.383177570093458,5.5046728971962615,1.0067694120317976,0.5156867392709322,107.0,0.957983193277311,36.51754385964912,44.406905456593165,-0.09587498759003271,26.54633486898322,31.3122752423872,5.728070175438597,5.780701754385965,0.98428686041581,0.6817383347896108,114.0,0.9663865546218487,23.469565217391306,26.823746111081995,-0.1091567606850625,26.424553887740426,29.75251506307851,5.695652173913044,5.721739130434782,0.9851707790208899,0.778050364618716,115.0,200,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,AdaptiveWatermarker,WordMutator,False,0.05487534981973864,1.4601121158684873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,144,0.0,,,-0.1590426304987341,,,,,,,0.0,0.020833333333333332,169.33333333333334,1124.3232839902241,-0.1611568888287176,90.47259012858073,106.38643391927083,8.666666666666666,6.0,0.06892903645833333,-0.9777425130208334,3.0,0.2708333333333333,139.4102564102564,1337.8614818193973,-0.18988582981541346,49.7526005475949,61.65377396803636,6.076923076923077,5.0,-0.0010045369466145833,-0.8406078632061298,39.0,0.5069444444444444,78.58904109589041,741.4491790157475,-0.2882734366488022,46.788198053020324,54.12001790085884,7.808219178082192,7.273972602739726,-0.1074773710067958,-0.5879769521216823,73.0,0.5347222222222222,29.675324675324674,832.3498792307718,-0.4337294775748921,46.36787367486335,49.51366085201115,8.363636363636363,8.246753246753247,-0.11872556612089083,-0.31272432401582795,77.0
DiffOracle,UMDWatermarker,SpanMutator,True,0.6132677913575364,1.6891833229862285,0.024,85.66666666666667,126.29751046498616,-0.09321535641702894,21.835948944091797,31.800953547159832,0.0,0.0,2.1051432291666665,0.24622599283854166,3.0,0.048,57.833333333333336,94.03230051199596,-0.0990435905337317,27.861823081970215,30.052364985148113,1.6666666666666667,1.8333333333333333,1.1116180419921875,-0.11533101399739583,6.0,0.056,71.0,129.48864088739668,-0.09942072750897635,26.833024161202566,28.071589606148855,1.8571428571428572,2.0,1.1569170270647322,-0.22527204241071427,7.0,0.056,62.285714285714285,117.12758030210223,-0.09887340908486737,26.833024161202566,27.744524547031947,1.8571428571428572,1.8571428571428572,1.1569170270647322,-0.124267578125,7.0,0.136,38.05882352941177,78.72950158399694,-0.10726372468090342,21.09607225305894,23.340890772202435,2.3529411764705883,2.0588235294117645,1.4229538861443014,0.6341552734375,17.0,0.248,25.387096774193548,47.23238149765999,-0.11025176316087026,19.918492317199707,20.402318308430335,2.935483870967742,3.0,1.4431240943170363,0.9039897303427419,31.0,200,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,SemStampWatermarker,SpanMutator,False,0.5138473065289216,1.407604773206569,0.29906542056074764,34.21875,65.14492392539978,-0.1768414787224795,22.26032331585884,24.557711631059647,2.96875,2.3125,1.1783790588378906,0.32915592193603516,32.0,0.32710280373831774,26.457142857142856,51.4926247051784,-0.19529449878538868,24.36408247266497,26.099567931038994,2.9714285714285715,2.4285714285714284,1.161971173967634,0.3534999302455357,35.0,0.34579439252336447,22.783783783783782,44.59102582287144,-0.20645859242234454,24.329107052571064,26.015168808602,3.4324324324324325,2.918918918918919,1.1294749491923564,0.39006578600084457,37.0,0.38317757009345793,16.609756097560975,33.6218098780004,-0.2321505131214321,23.44863200769192,24.994177562434498,3.1707317073170733,2.8292682926829267,1.1462234869235899,0.5264609732278963,41.0,0.4953271028037383,9.849056603773585,20.672412238031065,-0.2982191642161859,26.63079949145047,28.28215618853299,4.245283018867925,4.113207547169812,1.027200662864829,0.6179515910598466,53.0,0.6355140186915887,5.764705882352941,12.529638371046852,-0.3395365670831137,26.808602858992185,27.68132704145768,4.794117647058823,4.661764705882353,0.9782087662640739,0.665456210865694,68.0,150,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,UMDWatermarker,DocumentMutator,False,826.0981137028447,3.4455384245625247,0.2,64.0,265.50443148612976,-0.09562099954731436,55.63493347167969,32.07688903808594,1.0,1.0,0.69091796875,-0.10748291015625,1.0,0.6,24.666666666666668,285.05104184150696,-0.09823608010816955,37.47202364603678,30.18621253967285,10.333333333333334,1.6666666666666667,1.21484375,0.012837727864583334,3.0,0.8,15.75,649.4607406258583,-0.43874538941991026,35.50912523269653,28.30107879638672,10.25,2.75,1.0802001953125,-0.0452880859375,4.0,0.8,15.5,649.4607406258583,-0.44727146745401525,35.50912523269653,27.77626132965088,10.25,2.75,1.0802001953125,-0.04931640625,4.0,0.8,12.25,649.4607406258583,-0.5578732645211388,35.50912523269653,26.712408542633057,10.25,3.0,1.0802001953125,0.0546875,4.0,0.8,9.0,649.4607406258583,-0.710708377539795,35.50912523269653,29.979515075683594,10.25,3.25,1.0802001953125,0.318359375,4.0,90,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,UMDWatermarker,SentenceMutator,True,0.9007970695511344,2.342885356932693,0.2689655172413793,33.666666666666664,91.58207985682365,-0.0836156637571691,22.790093214083942,27.689587593078613,11.384615384615385,6.923076923076923,1.4561986678685896,0.3979394374749599,39.0,0.3103448275862069,30.044444444444444,81.41333238283794,-0.08617829314117312,22.622805457644994,27.48312045203315,10.11111111111111,6.266666666666667,1.4392923990885416,0.4207529703776042,45.0,0.3448275862068966,29.1,79.60043303489685,-0.08903474429220153,22.5544642162323,27.800347290039063,11.18,5.78,1.4477410888671876,0.434384765625,50.0,0.4206896551724138,24.704918032786885,68.00517324150586,-0.09576087338335293,22.57261233251603,27.08097403166724,9.360655737704919,5.098360655737705,1.3652804015112705,0.41310932597175976,61.0,0.6,20.75862068965517,60.51533238641147,-0.12691910149922142,24.65781303383838,27.178775820238837,9.942528735632184,8.39080459770115,1.3828363528196839,0.49176001274722747,87.0,0.7103448275862069,18.106796116504853,53.57568545248902,-0.15369709410437787,24.548745021079352,26.866988941303735,10.087378640776699,8.03883495145631,1.4214110142976335,0.6919108270441444,103.0,200,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,SemStampWatermarker,SentenceMutator,False,0.8354209326459058,1.5201050954974413,0.47413793103448276,24.945454545454545,55.15239837386391,-0.06734919632391106,22.641325369748202,26.736431607333095,4.327272727272727,3.6545454545454548,1.1947095003995027,0.29656385941938923,55.0,0.5862068965517241,22.470588235294116,45.18891194287468,-0.08938183690398069,24.37200697029338,28.091314988977768,3.985294117647059,3.3529411764705883,1.1650126962100757,0.29261016845703125,68.0,0.6637931034482759,21.844155844155843,39.4968620058778,-0.1018822909151416,25.97442036789733,29.47490274751341,5.415584415584416,5.0,1.1253952422699371,0.2981824998731737,77.0,0.7241379310344828,18.547619047619047,31.478774456750777,-0.12921193033378905,26.967564815566654,30.070372240883962,5.2976190476190474,4.940476190476191,1.0886678241548085,0.39362952822730657,84.0,0.853448275862069,8.747474747474747,17.39503864567689,-0.2111867314088792,25.959297917105935,28.007004472944473,6.2727272727272725,5.97979797979798,0.9943574847597064,0.46531815962357953,99.0,0.9224137931034483,5.205607476635514,9.883784447874978,-0.37437058059563594,26.313119473858414,27.73996915104233,6.140186915887851,5.719626168224299,0.994980143609448,0.5842623131297459,107.0,200,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,UMDWatermarker,WordMutator,False,0.0434626131668728,1.5690984508711574,0.02112676056338028,121.0,150.75098856290182,-0.019979320619047312,19.51041539510091,34.81361961364746,1.0,1.0,0.769287109375,-0.5628255208333334,3.0,0.04225352112676056,131.33333333333334,152.0492555697759,-0.020205767354697583,19.96820004781087,35.529808362325035,0.5,0.6666666666666666,1.2032470703125,-0.367584228515625,6.0,0.04929577464788732,128.71428571428572,147.5516984462738,-0.020361807150620408,19.192038944789342,34.73501886640276,0.8571428571428571,1.1428571428571428,1.1417759486607142,-0.38242885044642855,7.0,0.1056338028169014,120.06666666666666,128.96796757380167,-0.022193722500634457,17.962202072143555,30.1231388092041,1.4666666666666666,1.5333333333333334,1.1049540201822916,-0.3837483723958333,15.0,0.19014084507042253,85.11111111111111,102.55963616017942,-0.025925176277009396,21.190787739223904,31.56719723454228,1.8888888888888888,1.962962962962963,1.2723015679253473,0.2677018907335069,27.0,0.2887323943661972,65.48780487804878,86.8121274738777,-0.030950496365173726,24.114115645245807,30.91744976508908,2.951219512195122,2.951219512195122,1.1929232899735613,0.572974228277439,41.0,200,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DiffOracle,UMDWatermarker,WordMutator,True,0.053994995319888446,1.545767197387936,0.027777777777777776,164.0,186.59019666910172,-0.022539335676320212,15.76914095878601,28.056736946105957,0.75,0.75,1.135498046875,-0.29742431640625,4.0,0.041666666666666664,168.16666666666666,191.1854489247004,-0.022472624827965006,17.10091781616211,30.506858666737873,2.6666666666666665,2.6666666666666665,1.5646158854166667,-0.000400543212890625,6.0,0.0625,156.33333333333334,171.9294159942203,-0.022964864936778465,25.797138426038956,38.315451092190216,2.111111111111111,2.2222222222222223,1.210598839653863,-0.15516493055555555,9.0,0.09722222222222222,119.85714285714286,132.85049709251948,-0.02422591129676876,27.320185320717947,41.034675053187776,1.5,1.6428571428571428,1.2828284672328405,0.020939418247767856,14.0,0.1875,87.0,104.3061410497736,-0.028994404471015877,25.72925316845929,34.617334613093625,2.0,2.185185185185185,1.1946853355125144,0.3611585828993056,27.0,0.2569444444444444,53.351351351351354,64.17722028654975,-0.03492528538760695,23.760499928448652,29.339671933973158,2.0,2.135135135135135,1.2494194443161424,0.6506091968433277,37.0,200,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
